nazwa,Substancja czynna,postac,dawka,Zawartosc opakowania,Kod EAN lub inny kod odpowiadajacy kodowi EAN,Poziom odplatnosci,Zakres wskazan objetych refundacja,Wysokosc doplaty swiadczeniobiorcy
Agen 5,Amlodipinum, tabl., 5 mg,30 szt. (3 blist.po 10 szt. lub 2 blist.po 15 szt.),05909991098926,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,29"
Agen 5,Amlodipinum, tabletki, 5 mg,30 tabl.,05909991295226,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"2,01"
Agen 5,Amlodipinum, tabl., 5 mg,60 szt.,05909991295233,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,65"
Agen 5,Amlodipinum, tabl., 5 mg,60 szt. (6 blist.po 10 szt. lub 4 blist.po 15 szt.),05909991067533,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,65"
Aldan,Amlodipinum, tabl., 10 mg,30 szt. (3 blist.po 10 szt.),05909991008734,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,51"
Aldan,Amlodipinum, tabl., 5 mg,30 szt. (3 blist.po 10 szt.),05909991008635,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"1,92"
Almiden,Amlodipinum, tabl., 10 mg,30 szt.,05055565738177,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"2,91"
Almiden,Amlodipinum, tabl., 5 mg,30 szt.,05055565738078,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"1,51"
Alneta,Amlodipinum, tabl., 10 mg,30 szt.,05909991068073,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"5,85"
Alneta,Amlodipinum, tabl., 10 mg,60 tabl.,05909991068097,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"8,92"
Alneta,Amlodipinum, tabl., 5 mg,30 szt.,05909991067977,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,13"
Alneta,Amlodipinum, tabl., 5 mg,60 tabl.,05909991067991,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"5,12"
Amlodipine Aurobindo,Amlodipinum, tabl., 10 mg,30 szt.,05909990955008,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"2,81"
Amlodipine Aurobindo,Amlodipinum, tabl., 5 mg,30 szt.,05909990954254,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"1,49"
Amlodipine Bluefish,Amlodipinum, tabl., 10 mg,30 szt.,05909990800551,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"2,87"
Amlodipine Bluefish,Amlodipinum, tabl., 5 mg,30 szt.,05909990800469,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"1,49"
Amlodipinum 123ratio,Amlodipinum, tabl., 10 mg,30 szt.,05909991225650,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,28"
Amlomyl,Amlodipinum, tabl., 10 mg,30 szt.,05909990842698,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,14"
Amlomyl,Amlodipinum, tabletki, 10 mg,30 tabl.,05909991362195,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,02"
Amlomyl,Amlodipinum, tabl., 5 mg,30 szt.,05909990842476,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"1,77"
Amlonor,Amlodipinum, tabl., 10 mg,30 szt. (3 blist.po 10 szt.),05909990642625,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"5,52"
Amlonor,Amlodipinum, tabl., 5 mg,30 szt. (3 blist.po 10 szt.),05909990642618,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"2,95"
Amlopin 10 mg,Amlodipinum, tabl., 10 mg,28 szt.,05909991312343,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"2,85"
Amlopin 10 mg,Amlodipinum, tabletki, 10 mg,28 tabl.,05909991371784,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"2,61"
Amlopin 10 mg,Amlodipinum, tabletki, 10 mg,28 tabl.,05909991361020,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"2,95"
Amlopin 10 mg,Amlodipinum, tabl., 10 mg,30 szt.,05909997213699,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,52"
Amlopin 10 mg,Amlodipinum, tabl., 10 mg,30 szt. (3 blist.po 10 szt.),05909990048977,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"7,67"
Amlopin 10 mg,Amlodipinum, tabl., 10 mg,30 tabl.,05909997231501,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"2,84"
Amlopin 5 mg,Amlodipinum, tabl., 5 mg,28 szt.,05909991312244,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"1,82"
Amlopin 5 mg,Amlodipinum, tabletki, 5 mg,28 tabl.,05909991371708,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"1,70"
Amlopin 5 mg,Amlodipinum, tabletki, 5 mg,28 tabl.,05909991361013,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"2,03"
Amlopin 5 mg,Amlodipinum, tabl., 5 mg,30 szt.,05909991200732,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"1,92"
Amlopin 5 mg,Amlodipinum, tabl., 5 mg,30 szt.,05909997213675,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"1,93"
Amlopin 5 mg,Amlodipinum, tabl., 5 mg,30 szt. (3 blist.po 10 szt.),05909990048939,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"4,03"
Amlopin 5 mg,Amlodipinum, tabl., 5 mg,30 tabl.,05909991337742,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"1,86"
Amlozek,Amlodipinum, tabl., 10 mg,30 szt.,05909990799817,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"10,23"
Amlozek,Amlodipinum, tabl., 5 mg,30 szt.,05909990799718,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"8,64"
Apo-Amlo 10,Amlodipinum, tabl., 10 mg,30 szt.,05909991236687,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,52"
Apo-Amlo 10,Amlodipinum, tabl., 10 mg,30 szt. (3 blist.po 10 szt.),05909990565993,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"5,95"
Apo-Amlo 5,Amlodipinum, tabl., 5 mg,30 szt. (3 blist.po 10 szt.),05909990565986,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,17"
Cardilopin,Amlodipinum, tabl., 10 mg,30 szt. (3 blist.po 10 szt.),05909990907519,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"4,84"
Cardilopin,Amlodipinum, tabl., 2.5 mg,30 szt. (3 blist.po 10 szt.),05909990907311,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,06"
Cardilopin,Amlodipinum, tabl., 5 mg,30 szt. (3 blist.po 10 szt.),05909990907410,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"2,61"
Finamlox,Amlodipinum, tabl., 10 mg,30 szt.,05909990794461,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"5,24"
Finamlox,Amlodipinum, tabl., 5 mg,30 tabl.,05909990794430,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"2,45"
Normodipine,Amlodipinum, tabl., 10 mg,30 szt.,05909990993116,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,65"
Normodipine,Amlodipinum, tabl., 5 mg,30 szt.,05909990993017,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"1,99"
Tenox,Amlodipinum, tabl., 10 mg,30 szt. (3 blist.po 10 szt.),05909990963119,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"5,97"
Tenox,Amlodipinum, tabl., 5 mg,30 szt. (3 blist.po 10 szt.),05909990963010,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,18"
Tenox,Amlodipinum, tabl., 5 mg,90 szt. (9 blist.po 10 szt.),05909990421824,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"8,34"
Vilpin,Amlodipinum, tabl., 10 mg,28 szt.,05909991283797,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"2,95"
Vilpin,Amlodipinum, tabletki, 10 mg,28 tabl.,05909991312374,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"2,95"
Vilpin,Amlodipinum, tabl., 10 mg,28 tabl.,05909991337599,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"2,95"
Vilpin,Amlodipinum, tabl., 10 mg,30 szt. (3 blist.po 10 szt.),05909991042912,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"5,74"
Vilpin,Amlodipinum, tabletki, 5 mg,28 tabl.,05909991312367,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"1,82"
Vilpin,Amlodipinum, tabl., 5 mg,30 szt. (3 blist.po 10 szt.),05909990621217,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"2,90"
Dipperam,Amlodipinum + Valsartanum, tabletki powlekane, 10+160 mg,28 szt.,05907626708288,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"7,42"
Dipperam,Amlodipinum + Valsartanum, tabletki powlekane, 10+160 mg,56 szt.,05907626709384,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"13,64"
Dipperam,Amlodipinum + Valsartanum, tabletki powlekane, 5+160 mg,28 szt.,05907626708257,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"7,42"
Dipperam,Amlodipinum + Valsartanum, tabletki powlekane, 5+160 mg,56 szt.,05907626709377,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"13,64"
Dipperam,Amlodipinum + Valsartanum, tabletki powlekane, 5+80 mg,28 szt.,05907626708226,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,94"
Dipperam,Amlodipinum + Valsartanum, tabletki powlekane, 5+80 mg,56 szt.,05907626709360,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"7,22"
Amotaks,Amoxicillinum, tabl., 1 g,16 szt. (2 blist.po 8 szt.),05909990691319,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"5,00"
Amotaks,Amoxicillinum, tabl., 1 g,20 szt.,05909991089153,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,20"
Amotaks,Amoxicillinum, kaps. twarde, 500 mg,16 szt. (2 blist.po 8 szt.),05909990691517,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"6,27"
Amotaks,Amoxicillinum, kaps. twarde, 500 mg,20 szt.,05909991089108,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,20"
Amotaks,Amoxicillinum, granulat do sporzadzania zawiesiny doustnej, 500 mg/5 ml,"100 ml (65,3 g)",05909991298258,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,56"
Amotaks,Amoxicillinum, granulat do sporzadzania zawiesiny doustnej, 500 mg/5 ml,"60 ml (39,2 g)",05909990794379,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"4,27"
Amotaks DIS,Amoxicillinum, tabl., 1 g,16 szt. (2 blist.po 8 szt.),05909991043728,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,63"
Amotaks Dis,Amoxicillinum, tabl., 1 g,20 szt.,05909991089146,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,20"
Amotaks DIS,Amoxicillinum, tabl., 500 mg,16 szt. (2 blist.po 8 szt.),05909991043520,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"4,25"
Amotaks Dis,Amoxicillinum, tabl., 500 mg,20 szt.,05909991089122,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,20"
Amotaks DIS,Amoxicillinum, tabl., 750 mg,16 szt. (2 blist.po 8 szt.),05909991043629,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"4,39"
Amotaks Dis,Amoxicillinum, tabl., 750 mg,20 szt.,05909991089139,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,20"
Amoxicillin Aurovitas,Amoxicillinum, tabl. do sporz. zaw. doustnej, 1000 mg,16 szt.,05909991373139,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,20"
Amoxicillin Aurovitas,Amoxicillinum, tabl. do sporz. zaw. doustnej, 750 mg,16 szt.,05909991373061,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,31"
Hiconcil,Amoxicillinum, kaps. twarde, 250 mg,16 szt.,05909990066018,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,78"
Hiconcil,Amoxicillinum, proszek do sporzadzania zawiesiny doustnej, 250 mg/5 ml,1 but.po 100 ml,05909990083619,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,20"
Hiconcil,Amoxicillinum, kaps. twarde, 500 mg,16 szt.,05909990066117,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"4,25"
Ospamox,Amoxicillinum, tabl. powl., 1000 mg,16 szt.,05909990293322,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,20"
Ospamox,Amoxicillinum, tabl. powl., 500 mg,16 szt.,05909990293124,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,85"
Ospamox,Amoxicillinum, proszek do sporzadzania zawiesiny doustnej, 500 mg/5 ml,1 but. 60 ml,05907626702361,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,99"
Ospamox,Amoxicillinum, proszek do sporzadzania zawiesiny doustnej, 500 mg/5 ml,1 but.po 100 ml,05909990781874,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,20"
Ospamox,Amoxicillinum, tabl. powl., 750 mg,16 szt.,05909990293223,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,70"
Ospamox 1000 mg,Amoxicillinum, tabl., 1000 mg,20 szt.,05909990778041,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,20"
Ospamox 500 mg,Amoxicillinum, tabl. powl., 500 mg,20 szt.,05909990788453,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,61"
Ospamox 750 mg,Amoxicillinum, tabl. powl., 750 mg,20 szt.,05909990788477,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,57"
Amoksiklav,Amoxicillinum + Acidum clavulanicum, proszek do sporzadzania zawiesiny doustnej, 400+57 mg/5 ml,140 ml (35 g),05909990894833,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"16,42"
Amoksiklav,Amoxicillinum + Acidum clavulanicum, proszek do sporzadzania zawiesiny doustnej, 400+57 mg/5 ml,"35 ml (8,75 g)",05909990894819,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"7,65"
Amoksiklav,Amoxicillinum + Acidum clavulanicum, proszek do sporzadzania zawiesiny doustnej, 400+57 mg/5 ml,"70 ml (17,5 g)",05909990894826,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"12,95"
Amoksiklav,Amoxicillinum + Acidum clavulanicum, tabl. powl., 500+125 mg,14 szt. (2 blist.po 7 szt.),05909990081912,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"10,84"
Amoksiklav,Amoxicillinum + Acidum clavulanicum, tabl. powl., 875+125 mg,14 szt.,05909991322939,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"11,93"
Amoksiklav,Amoxicillinum + Acidum clavulanicum, tabl. powl., 875+125 mg,14 szt.,05909991353940,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"11,93"
Amoksiklav,Amoxicillinum + Acidum clavulanicum, tabl. powl., 875+125 mg,14 szt.,05909991250324,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"12,75"
Amoksiklav,Amoxicillinum + Acidum clavulanicum, tabl. powl., 875+125 mg,14 szt.,05902023777837,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"12,75"
Amoksiklav,Amoxicillinum + Acidum clavulanicum, tabl. powl., 875+125 mg,14 szt.,05909991243319,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"13,06"
Amoksiklav,Amoxicillinum + Acidum clavulanicum, tabl. powl., 875+125 mg,14 szt. (2 blist.po 7 szt.),05909990411115,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"16,71"
Amoksiklav,Amoxicillinum + Acidum clavulanicum, tabl. powl., 875+125 mg,20 szt.,05909991012960,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"22,32"
Amoksiklav QUICKTAB 1000 mg,Amoxicillinum + Acidum clavulanicum, tabl. do sporzadzania zawiesiny doustnej/tabl. ulegajace rozpadowi w jamie ustnej, 875+125 mg,14 szt. (7 blist.po 2 szt.),05909990649747,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"14,20"
Amoksiklav QUICKTAB 625 mg,Amoxicillinum + Acidum clavulanicum, tabl. do sporzadzania zawiesiny doustnej/tabl. ulegajace rozpadowi w jamie ustnej, 500+125 mg,14 szt. (7 blist.po 2 szt.),05909990646906,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"8,83"
Amylan,Amoxicillinum + Acidum clavulanicum, tabl. powl., 500 + 125 mg,14 tabl.,05909991284220,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"8,00"
Amylan,Amoxicillinum + Acidum clavulanicum, tabl. powl., 875+125 mg,14 szt.,05909991284237,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"11,93"
Augmentin,Amoxicillinum + Acidum clavulanicum, tabl. powl., 250+125 mg,21 szt. (3 blist.po 7 szt.),05909990064120,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"8,39"
Augmentin,Amoxicillinum + Acidum clavulanicum, proszek do sporzadzania zawiesiny doustnej, 400+57 mg/5 ml,"10,6 g proszku do sporzadzenia 70 ml zawiesiny w 1 but.",05909990419326,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"17,48"
Augmentin,Amoxicillinum + Acidum clavulanicum, proszek do sporzadzania zawiesiny doustnej, 400+57 mg/5 ml,21 g proszku do sporzadzenia 140 ml zawiesiny w 1 but.,05909990419333,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"17,56"
Augmentin,Amoxicillinum + Acidum clavulanicum, proszek do sporzadzania zawiesiny doustnej, 400+57 mg/5 ml,"5,3 g proszku do sporzadzenia 35 ml zawiesiny w 1 but.",05909990419319,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"9,01"
Augmentin,Amoxicillinum + Acidum clavulanicum, tabl. powl., 500+125 mg,14 szt.,05909997219684,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"9,02"
Augmentin,Amoxicillinum + Acidum clavulanicum, tabl. powl., 500+125 mg,14 szt.,05909997199702,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"9,92"
Augmentin,Amoxicillinum + Acidum clavulanicum, tabl. powl., 500+125 mg,14 szt. (2 blist.po 7 szt.),05909990368235,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"10,49"
Augmentin,Amoxicillinum + Acidum clavulanicum, tabl. powl., 875+125 mg,14 szt.,05909997230740,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"13,20"
Augmentin,Amoxicillinum + Acidum clavulanicum, tabl. powl., 875+125 mg,14 szt.,05909997198385,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"14,56"
Augmentin,Amoxicillinum + Acidum clavulanicum, tabl. powl., 875+125 mg,14 szt.,05909997230542,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"14,56"
Augmentin,Amoxicillinum + Acidum clavulanicum, tabl. powl., 875+125 mg,14 szt.,05909991209483,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"14,65"
Augmentin,Amoxicillinum + Acidum clavulanicum, tabl. powl., 875+125 mg,14 szt.,05909997217345,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"14,66"
Augmentin,Amoxicillinum + Acidum clavulanicum, tabl. powl., 875+125 mg,14 szt.,05909991248949,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"14,66"
Augmentin,Amoxicillinum + Acidum clavulanicum, tabl. powl., 875+125 mg,14 szt. (2 blist.po 7 szt.),05909990717521,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"17,91"
Augmentin,Amoxicillinum + Acidum clavulanicum, tabl. powl., 875+125 mg,20 szt.,05909991093990,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"18,79"
Augmentin ES,Amoxicillinum + Acidum clavulanicum, proszek do sporzadzania zawiesiny doustnej, 600+42,100 ml,05909990614318,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"23,61"
Augmentin ES,Amoxicillinum + Acidum clavulanicum, proszek do sporzadzania zawiesiny doustnej, 600+42,50 ml,05909990614288,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"16,75"
Augmentin SR,Amoxicillinum + Acidum clavulanicum, tabl. o przedluzonym uwalnianiu, 1000+62,28 szt. (7 blist.po 4 szt.),05909990041985,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"27,92"
Hiconcil combi,Amoxicillinum + Acidum clavulanicum, proszek do sporzadzania zawiesiny doustnej, 400+57 mg/5 ml,70 ml (14 g),05909991233846,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"7,33"
Hiconcil combi,Amoxicillinum + Acidum clavulanicum, tabl. powl., 500+125 mg,14 szt.,05909991233525,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"10,09"
Hiconcil combi,Amoxicillinum + Acidum clavulanicum, tabl. powl., 875+125 mg,14 szt.,05909991233624,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"16,49"
Ramoclav,Amoxicillinum + Acidum clavulanicum, tabl. powl., 875+125 mg,14 szt.,05909991042073,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"14,56"
